n:61 mse_avg:9.00 mse_y:12.81 mse_u:1.25 mse_v:1.55 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.17 psnr_v:46.24 
n:62 mse_avg:9.00 mse_y:12.80 mse_u:1.25 mse_v:1.54 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.18 psnr_v:46.26 
n:63 mse_avg:9.00 mse_y:12.80 mse_u:1.24 mse_v:1.53 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.18 psnr_v:46.28 
n:64 mse_avg:9.00 mse_y:12.80 mse_u:1.25 mse_v:1.53 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.17 psnr_v:46.28 
n:65 mse_avg:9.00 mse_y:12.80 mse_u:1.24 mse_v:1.53 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.18 psnr_v:46.29 
n:66 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.53 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.19 psnr_v:46.29 
n:67 mse_avg:9.00 mse_y:12.80 mse_u:1.24 mse_v:1.53 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.19 psnr_v:46.29 
n:68 mse_avg:9.00 mse_y:12.80 mse_u:1.24 mse_v:1.53 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.19 psnr_v:46.29 
n:69 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.06 psnr_u:47.19 psnr_v:46.30 
n:70 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.05 psnr_u:47.19 psnr_v:46.30 
n:71 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.05 psnr_u:47.19 psnr_v:46.30 
n:72 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.05 psnr_u:47.19 psnr_v:46.30 
n:73 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.05 psnr_u:47.20 psnr_v:46.31 
n:74 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.05 psnr_u:47.20 psnr_v:46.31 
n:75 mse_avg:9.00 mse_y:12.81 mse_u:1.24 mse_v:1.52 psnr_avg:38.59 psnr_y:37.05 psnr_u:47.20 psnr_v:46.31 
n:76 mse_avg:8.59 mse_y:12.19 mse_u:1.26 mse_v:1.49 psnr_avg:38.79 psnr_y:37.27 psnr_u:47.12 psnr_v:46.41 
